unix_ts,event,topic,seq,test_id,condition,payload_bytes,active_camera_mode,active_lidar_mode,video_enabled,lidar_enabled,notes
1779496209.172814,ack_recv,latency_ack,190,C1_control_only,C1_control_only,90,off,off,False,False,rtt=15.04ms
1779496209.3025382,ack_recv,latency_ack,191,C1_control_only,C1_control_only,90,off,off,False,False,rtt=44.22ms
1779496209.3885686,ack_recv,latency_ack,192,C1_control_only,C1_control_only,90,off,off,False,False,rtt=29.74ms
1779496209.4776442,ack_recv,latency_ack,193,C1_control_only,C1_control_only,90,off,off,False,False,rtt=18.73ms
1779496209.5752847,ack_recv,latency_ack,194,C1_control_only,C1_control_only,90,off,off,False,False,rtt=15.96ms
1779496209.6786187,ack_recv,latency_ack,195,C1_control_only,C1_control_only,90,off,off,False,False,rtt=19.11ms
1779496209.7794514,ack_recv,latency_ack,196,C1_control_only,C1_control_only,90,off,off,False,False,rtt=19.55ms
1779496209.891337,ack_recv,latency_ack,197,C1_control_only,C1_control_only,90,off,off,False,False,rtt=30.97ms
1779496209.9739027,ack_recv,latency_ack,198,C1_control_only,C1_control_only,90,off,off,False,False,rtt=13.03ms
1779496210.0817509,ack_recv,latency_ack,199,C1_control_only,C1_control_only,90,off,off,False,False,rtt=20.38ms
1779496210.170322,ack_recv,latency_ack,200,C1_control_only,C1_control_only,90,off,off,False,False,rtt=8.57ms
1779496210.304031,ack_recv,latency_ack,201,C1_control_only,C1_control_only,90,off,off,False,False,rtt=41.68ms
1779496210.3728807,ack_recv,latency_ack,202,C1_control_only,C1_control_only,90,off,off,False,False,rtt=10.02ms
1779496210.482688,ack_recv,latency_ack,203,C1_control_only,C1_control_only,90,off,off,False,False,rtt=19.45ms
1779496210.5836818,ack_recv,latency_ack,204,C1_control_only,C1_control_only,90,off,off,False,False,rtt=20.07ms
1779496210.6791887,ack_recv,latency_ack,205,C1_control_only,C1_control_only,90,off,off,False,False,rtt=15.11ms
1779496210.783324,ack_recv,latency_ack,206,C1_control_only,C1_control_only,90,off,off,False,False,rtt=18.72ms
1779496210.8744879,ack_recv,latency_ack,207,C1_control_only,C1_control_only,90,off,off,False,False,rtt=9.71ms
1779496210.987498,ack_recv,latency_ack,208,C1_control_only,C1_control_only,90,off,off,False,False,rtt=22.57ms
1779496211.075226,ack_recv,latency_ack,209,C1_control_only,C1_control_only,90,off,off,False,False,rtt=10.18ms
1779496211.1833637,ack_recv,latency_ack,210,C1_control_only,C1_control_only,90,off,off,False,False,rtt=18.07ms
1779496211.2739856,ack_recv,latency_ack,211,C1_control_only,C1_control_only,90,off,off,False,False,rtt=8.28ms
1779496211.3859355,ack_recv,latency_ack,212,C1_control_only,C1_control_only,90,off,off,False,False,rtt=19.85ms
1779496211.471688,ack_recv,latency_ack,213,C1_control_only,C1_control_only,90,off,off,False,False,rtt=5.06ms
1779496211.581047,ack_recv,latency_ack,214,C1_control_only,C1_control_only,90,off,off,False,False,rtt=13.82ms
1779496211.7223098,ack_recv,latency_ack,215,C1_control_only,C1_control_only,90,off,off,False,False,rtt=54.38ms
1779496211.8065512,ack_recv,latency_ack,216,C1_control_only,C1_control_only,90,off,off,False,False,rtt=38.30ms
1779496211.8838632,ack_recv,latency_ack,217,C1_control_only,C1_control_only,90,off,off,False,False,rtt=15.07ms
1779496211.9918082,ack_recv,latency_ack,218,C1_control_only,C1_control_only,90,off,off,False,False,rtt=22.47ms
1779496212.0990481,ack_recv,latency_ack,219,C1_control_only,C1_control_only,90,off,off,False,False,rtt=29.46ms
1779496212.18258,ack_recv,latency_ack,220,C1_control_only,C1_control_only,90,off,off,False,False,rtt=12.48ms
1779496212.2847912,ack_recv,latency_ack,221,C1_control_only,C1_control_only,90,off,off,False,False,rtt=14.12ms
1779496212.3772311,ack_recv,latency_ack,222,C1_control_only,C1_control_only,90,off,off,False,False,rtt=6.26ms
1779496212.5035675,ack_recv,latency_ack,223,C1_control_only,C1_control_only,90,off,off,False,False,rtt=32.09ms
1779496212.5954163,ack_recv,latency_ack,224,C1_control_only,C1_control_only,90,off,off,False,False,rtt=22.90ms
1779496212.6871078,ack_recv,latency_ack,225,C1_control_only,C1_control_only,90,off,off,False,False,rtt=13.85ms
1779496212.7847135,ack_recv,latency_ack,226,C1_control_only,C1_control_only,90,off,off,False,False,rtt=10.86ms
1779496212.8944077,ack_recv,latency_ack,227,C1_control_only,C1_control_only,90,off,off,False,False,rtt=20.10ms
1779496213.0360022,ack_recv,latency_ack,228,C1_control_only,C1_control_only,90,off,off,False,False,rtt=61.48ms
1779496213.114281,ack_recv,latency_ack,229,C1_control_only,C1_control_only,90,off,off,False,False,rtt=39.14ms
1779496213.2014427,ack_recv,latency_ack,230,C1_control_only,C1_control_only,90,off,off,False,False,rtt=25.80ms
1779496213.2932804,ack_recv,latency_ack,231,C1_control_only,C1_control_only,90,off,off,False,False,rtt=17.26ms
1779496213.392191,ack_recv,latency_ack,232,C1_control_only,C1_control_only,90,off,off,False,False,rtt=15.42ms
1779496213.4917188,ack_recv,latency_ack,233,C1_control_only,C1_control_only,90,off,off,False,False,rtt=13.86ms
